ID,Age,Gender,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Alcohol,Amphetamine,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Meth,Mushrooms,Nicotine,Semeron,Volatile substance abuse
518,35-44,Female,Left school at 16 years,UK,White,22,24,15,12,26,3,4,6,2,2,2,6,2,6,2,2,1,2,1,0,0,2,2,6,0,1
519,25-34,Female,Masters degree,UK,White,27,22,22,20,30,2,5,2,0,2,3,6,2,5,0,0,0,0,0,0,0,0,0,2,0,0
520,25-34,Male,Professional certificate/ diploma,Other,White,29,19,21,22,18,5,9,2,3,2,6,6,6,6,3,0,3,3,0,0,2,2,0,6,0,1
521,25-34,Male,Masters degree,UK,White,22,25,11,30,35,5,9,5,2,2,4,5,3,5,2,2,3,2,2,0,0,0,0,5,0,2
522,35-44,Female,University degree,UK,White,26,21,13,18,30,1,0,5,0,2,0,6,3,5,0,0,0,0,0,0,0,0,0,5,0,0
523,45-54,Female,Left school at 16 years,Australia,White,30,21,14,20,25,2,2,3,0,0,6,5,4,6,0,0,0,0,0,0,0,0,0,6,0,0
524,18-24,Male,"Some college or university, no certificate or degree",USA,White,24,25,20,14,23,5,6,5,0,0,0,6,6,5,0,0,3,0,0,0,3,0,3,6,0,0
525,18-24,Male,"Some college or university, no certificate or degree",UK,White,21,26,19,18,14,4,6,5,0,0,0,6,6,6,0,0,0,0,0,4,0,0,0,6,0,0
526,35-44,Female,Left school before 16 years,UK,White,25,17,7,24,27,1,0,2,2,2,2,6,2,5,2,2,2,2,0,0,1,2,0,3,0,1
527,45-54,Female,University degree,Australia,White,17,27,27,35,38,4,6,5,1,1,6,0,6,3,1,1,1,0,0,0,3,6,1,0,0,1
528,55-64,Male,Left school at 18 years,UK,White,8,26,12,23,27,2,4,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0
529,18-24,Male,Professional certificate/ diploma,UK,White,33,13,18,10,13,6,6,4,0,2,0,4,5,5,4,0,3,0,0,2,0,3,0,4,0,0
530,35-44,Male,Doctorate degree,UK,White,30,22,19,27,11,5,5,6,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0
531,25-34,Female,Professional certificate/ diploma,UK,White,31,30,20,23,24,3,9,5,2,2,1,6,3,6,5,0,2,0,1,0,1,0,2,5,0,1
532,55-64,Male,University degree,UK,White,33,23,24,10,28,3,2,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0
533,45-54,Male,University degree,UK,White,34,12,15,25,17,3,8,5,2,1,2,6,6,5,3,3,2,1,0,0,2,2,2,6,0,1
534,18-24,Female,University degree,UK,White,21,24,15,33,31,4,2,4,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,2,0,0
535,25-34,Male,Masters degree,UK,White,20,22,15,12,19,5,6,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
536,35-44,Female,Masters degree,UK,White,8,37,17,32,33,4,2,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
537,25-34,Female,University degree,USA,White,33,23,26,9,20,4,5,5,4,0,6,6,2,4,6,0,2,3,2,0,2,3,2,6,0,1
538,18-24,Female,University degree,UK,White,37,28,13,29,19,5,6,6,0,3,0,5,4,5,3,0,3,0,0,3,0,0,0,3,0,0
539,45-54,Female,"Some college or university, no certificate or degree",UK,Asian,31,21,11,28,17,1,1,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0
540,35-44,Female,University degree,UK,White,35,21,20,27,28,4,7,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
541,45-54,Male,Masters degree,UK,White,12,31,19,27,35,0,2,6,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
542,45-54,Female,University degree,UK,White,14,25,19,17,25,1,1,5,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,2,0,0
543,45-54,Female,University degree,Other,Black,26,28,20,28,27,4,6,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
544,35-44,Male,Left school at 17 years,UK,White,31,28,26,15,16,4,9,6,1,1,5,6,5,5,2,0,2,1,2,4,1,0,1,6,0,1
545,25-34,Female,University degree,UK,White,32,27,13,18,26,3,5,6,0,0,0,5,0,5,2,0,2,0,0,0,0,0,0,5,0,0
546,18-24,Female,Left school at 16 years,UK,White,36,19,15,18,16,7,5,5,0,2,0,6,4,5,0,0,0,0,0,0,0,0,0,6,0,1
547,35-44,Female,Professional certificate/ diploma,UK,White,39,24,17,27,18,2,5,5,0,0,2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
548,45-54,Female,"Some college or university, no certificate or degree",USA,White,15,20,26,39,24,1,2,2,2,0,2,6,2,6,2,2,0,0,0,0,1,2,0,6,0,0
549,25-34,Female,Masters degree,UK,White,8,18,13,20,36,1,3,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
550,18-24,Male,University degree,UK,White,36,20,21,24,10,5,2,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,0,0
551,25-34,Female,Masters degree,Other,White,13,30,21,19,23,3,3,4,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,3,0,0
552,18-24,Female,University degree,UK,White,22,20,10,28,32,1,4,6,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,2,0,0
553,35-44,Female,Masters degree,UK,White,16,31,21,16,31,3,9,4,2,1,0,6,4,5,3,0,3,0,3,3,3,0,3,3,0,0
554,18-24,Female,Masters degree,UK,White,40,12,19,28,26,3,2,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
555,25-34,Female,Masters degree,Other,Mixed-White/Black,34,9,17,23,27,2,0,6,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0
556,25-34,Female,Doctorate degree,UK,White,30,26,17,23,32,5,6,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
557,45-54,Female,Masters degree,UK,White,26,16,12,23,30,2,2,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
558,18-24,Female,University degree,UK,White,22,21,22,22,26,1,4,6,2,2,0,6,2,4,0,0,3,0,2,3,0,0,2,2,0,0
559,25-34,Female,University degree,UK,White,9,29,19,32,32,2,5,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
560,18-24,Female,University degree,UK,White,19,22,16,29,23,7,9,5,2,2,0,6,2,3,2,0,0,0,0,0,0,0,0,2,0,0
561,45-54,Female,University degree,UK,White,16,23,23,25,31,4,4,6,1,1,0,6,1,6,1,0,0,0,0,0,1,0,0,6,0,0
562,18-24,Female,University degree,UK,White,34,24,15,25,27,2,4,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
563,35-44,Female,University degree,UK,White,30,27,23,16,29,3,5,5,1,0,3,6,2,6,2,0,2,0,2,0,0,0,0,3,0,0
564,35-44,Female,Masters degree,UK,Other,46,26,9,21,33,3,3,6,0,1,1,6,2,6,0,0,0,0,0,0,1,0,1,6,0,1
565,25-34,Female,Masters degree,UK,White,32,25,16,11,22,4,6,5,0,3,2,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0
566,45-54,Female,"Some college or university, no certificate or degree",UK,White,19,20,20,24,21,8,3,2,6,0,0,6,3,5,1,0,0,0,0,0,0,0,1,6,0,1
567,45-54,Female,Masters degree,UK,White,27,17,21,27,18,2,3,5,0,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
568,18-24,Female,University degree,UK,White,33,30,13,29,28,1,2,5,2,2,2,5,4,6,0,0,2,0,0,0,0,0,0,6,0,1
569,18-24,Male,University degree,UK,White,41,27,28,17,20,3,6,6,0,2,0,6,3,6,2,0,0,0,0,2,0,0,0,6,0,0
570,35-44,Male,Masters degree,UK,White,34,17,19,21,24,3,5,1,0,0,0,1,1,5,0,0,0,0,0,0,0,0,1,1,0,0
571,35-44,Female,Doctorate degree,UK,White,20,28,19,17,38,2,4,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,1
572,35-44,Female,Professional certificate/ diploma,Australia,White,26,30,12,11,21,5,8,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,0,0
573,18-24,Female,Masters degree,UK,White,9,35,19,30,35,4,8,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
574,35-44,Male,Professional certificate/ diploma,UK,White,36,14,8,16,19,8,6,6,1,1,1,6,3,6,1,0,1,0,0,0,1,0,0,6,0,1
575,55-64,Female,"Some college or university, no certificate or degree",USA,White,15,29,23,19,21,5,5,5,0,0,2,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0
576,35-44,Female,University degree,UK,White,43,12,7,27,10,2,1,6,1,0,0,5,2,6,1,0,1,0,0,0,1,0,0,2,0,0
577,35-44,Male,Left school at 16 years,UK,White,8,28,9,20,31,3,6,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,2,6,0,0
578,25-34,Female,Masters degree,UK,Other,32,25,21,27,30,2,4,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
579,25-34,Female,University degree,UK,White,34,28,15,31,23,2,5,4,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,1,0,0
580,45-54,Female,Masters degree,UK,White,34,22,22,30,33,1,1,6,1,0,2,4,1,6,0,0,0,0,0,0,1,0,1,1,0,0
581,18-24,Female,Masters degree,UK,White,22,28,24,24,29,3,5,5,0,2,0,6,2,6,0,0,0,0,0,0,0,0,0,2,0,0
582,35-44,Female,"Some college or university, no certificate or degree",UK,White,13,23,12,23,9,8,5,6,1,1,1,6,2,6,2,0,1,0,0,0,1,0,1,2,0,0
583,18-24,Male,"Some college or university, no certificate or degree",UK,White,15,33,23,21,19,6,8,6,0,4,0,6,5,6,0,0,5,0,4,2,0,0,2,6,0,0
584,35-44,Female,Professional certificate/ diploma,UK,White,27,31,30,21,30,5,6,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
585,18-24,Female,"Some college or university, no certificate or degree",USA,White,30,23,16,26,21,3,9,5,0,0,3,6,4,6,0,0,3,0,0,0,0,0,0,3,0,0
586,25-34,Male,University degree,UK,White,21,24,18,15,29,7,7,2,0,2,0,3,1,6,0,0,0,0,0,0,0,0,1,1,0,0
587,18-24,Male,Professional certificate/ diploma,UK,White,31,19,28,16,22,5,7,2,0,0,0,6,4,5,0,0,0,0,0,0,0,0,0,4,0,0
588,18-24,Male,"Some college or university, no certificate or degree",UK,White,27,25,18,28,10,4,8,5,5,2,4,6,6,6,0,0,0,0,0,3,3,0,3,6,0,0
589,25-34,Female,Left school at 16 years,UK,White,19,33,23,29,25,3,6,5,3,1,3,6,6,6,1,0,1,0,0,0,0,0,1,6,0,0
590,55-64,Female,"Some college or university, no certificate or degree",USA,White,12,22,22,17,27,5,6,2,1,0,1,6,6,6,1,0,1,0,0,0,1,0,0,0,0,0
591,35-44,Male,Left school before 16 years,UK,White,18,23,16,19,28,3,7,3,3,2,1,6,6,5,2,0,2,1,0,0,1,1,0,6,0,1
592,35-44,Female,University degree,UK,White,28,20,18,12,34,3,3,6,0,0,1,6,1,6,0,0,0,0,0,0,0,0,0,2,0,0
593,35-44,Female,Professional certificate/ diploma,USA,White,2,29,21,26,36,2,5,5,0,0,0,6,6,6,2,3,2,0,0,3,0,0,0,6,0,0
594,25-34,Male,Professional certificate/ diploma,Other,Mixed-White/Black,23,29,20,27,28,4,8,5,0,3,0,6,5,5,3,0,0,0,0,4,0,0,2,6,0,0
595,35-44,Male,Left school at 16 years,UK,White,20,19,16,15,19,7,8,5,2,3,4,6,5,5,2,0,3,0,2,3,2,0,3,0,0,0
596,45-54,Male,Professional certificate/ diploma,Other,White,27,24,17,14,27,3,8,6,1,1,2,6,1,4,1,1,0,0,0,0,1,0,1,1,0,0
597,18-24,Male,Left school at 16 years,UK,White,11,28,25,29,30,5,9,5,2,0,0,5,5,5,3,0,4,0,0,0,0,0,0,6,0,0
598,55-64,Female,Professional certificate/ diploma,Canada,White,20,20,18,18,28,6,9,1,1,1,2,6,4,5,1,1,0,0,0,6,1,3,1,1,0,1
599,45-54,Female,Professional certificate/ diploma,USA,White,24,24,16,26,26,3,4,5,1,0,2,6,6,6,1,0,0,0,0,2,1,0,2,3,0,0
600,18-24,Male,"Some college or university, no certificate or degree",UK,White,29,22,22,23,17,5,7,4,0,2,0,5,6,6,0,0,0,0,0,2,0,0,3,6,0,0
601,45-54,Female,Masters degree,UK,White,31,19,16,34,25,2,2,6,0,0,0,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0
602,18-24,Male,"Some college or university, no certificate or degree",USA,White,34,30,25,24,16,8,9,4,5,0,0,6,6,5,4,0,4,0,3,4,0,0,4,6,0,0
603,18-24,Male,"Some college or university, no certificate or degree",USA,White,29,11,12,9,28,5,9,6,3,0,0,6,6,5,0,0,0,0,0,3,0,0,0,6,0,2
604,18-24,Male,"Some college or university, no certificate or degree",USA,White,42,16,25,19,16,5,8,6,3,0,2,6,6,3,0,0,2,0,0,6,3,3,4,6,0,0
605,25-34,Male,University degree,USA,White,17,17,17,13,25,2,5,5,0,0,2,6,5,5,2,0,2,0,2,2,3,0,3,5,0,2
606,35-44,Female,"Some college or university, no certificate or degree",USA,White,28,25,22,29,27,2,4,5,0,0,5,6,5,4,1,0,0,0,0,0,0,2,1,5,0,0
607,55-64,Female,Masters degree,USA,White,3,30,31,31,16,2,4,5,3,1,2,6,6,6,1,2,0,1,0,0,1,0,1,0,0,0
608,18-24,Male,University degree,UK,White,19,23,12,32,18,3,9,5,0,0,0,6,4,4,0,0,0,0,0,0,0,0,0,3,0,0
609,45-54,Male,"Some college or university, no certificate or degree",USA,White,23,23,26,35,23,2,6,2,1,0,0,6,3,3,1,1,0,1,0,0,1,0,1,6,0,0
610,25-34,Male,University degree,UK,White,9,31,28,24,31,5,10,6,6,4,4,6,6,6,6,2,4,2,3,4,2,0,3,1,0,5
611,55-64,Female,Professional certificate/ diploma,Canada,White,36,17,10,30,12,8,5,4,1,0,1,5,5,4,3,3,0,0,0,0,1,0,4,1,0,1
612,25-34,Male,"Some college or university, no certificate or degree",UK,White,15,29,26,24,19,4,10,6,1,2,0,6,6,6,2,0,3,0,0,3,1,0,0,6,0,0
613,25-34,Male,University degree,UK,White,17,25,16,31,28,5,9,5,0,0,0,6,5,5,0,2,0,0,0,3,0,0,2,6,0,2
614,35-44,Male,University degree,UK,White,13,24,19,21,21,3,4,1,1,1,1,6,6,6,1,0,4,0,1,5,1,0,2,1,0,0
615,25-34,Female,Masters degree,UK,White,42,21,18,12,19,4,6,6,3,2,5,5,6,6,3,0,2,0,0,6,0,0,2,6,0,1
616,25-34,Female,Left school before 16 years,USA,White,21,27,15,17,26,7,5,3,2,0,3,6,3,4,3,3,3,3,0,0,3,3,2,6,0,2
617,35-44,Female,Masters degree,UK,White,25,22,17,28,22,6,9,6,0,0,1,6,2,2,0,0,1,0,0,0,1,0,0,6,0,1
618,45-54,Female,"Some college or university, no certificate or degree",USA,White,34,24,19,19,16,7,9,2,6,1,6,6,6,6,2,1,0,0,0,2,1,2,4,4,0,0
619,45-54,Male,Professional certificate/ diploma,Republic of Ireland,White,15,31,18,19,29,2,6,3,2,2,3,6,6,5,0,0,0,1,0,5,2,0,2,6,0,1
620,25-34,Female,University degree,UK,White,23,30,26,24,24,5,6,5,0,2,0,6,3,6,0,0,0,0,0,0,0,0,0,2,0,0
621,55-64,Male,Masters degree,UK,White,17,16,25,17,28,1,3,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
622,18-24,Male,Left school at 18 years,UK,White,29,13,17,32,10,7,7,5,0,0,0,6,5,6,0,0,4,0,4,2,0,0,0,6,0,2
623,35-44,Male,Masters degree,UK,White,15,27,19,14,26,6,7,5,0,1,0,6,2,6,0,0,0,0,0,0,1,0,1,1,0,0
624,35-44,Female,Masters degree,UK,White,22,26,18,25,34,2,1,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0
625,45-54,Female,Masters degree,UK,White,20,23,17,21,13,8,4,6,0,1,0,6,1,6,0,0,0,0,0,1,0,0,1,2,0,1
626,35-44,Female,Doctorate degree,UK,White,24,23,11,23,26,1,5,6,0,0,1,6,1,4,0,0,0,0,0,0,0,0,1,1,0,0
627,35-44,Female,Professional certificate/ diploma,UK,White,20,19,16,17,26,2,1,6,1,0,0,6,2,6,2,0,2,0,0,0,2,0,2,2,0,0
628,35-44,Male,University degree,UK,White,23,20,14,20,27,3,5,6,1,2,0,6,2,5,0,0,0,0,0,0,1,0,1,2,0,0
629,35-44,Male,Doctorate degree,UK,White,9,16,9,34,28,0,3,5,1,1,2,5,5,6,3,0,4,0,0,0,0,0,2,5,0,0
630,25-34,Female,Doctorate degree,UK,White,36,15,11,33,26,1,1,5,0,0,0,6,3,5,3,0,0,0,0,0,0,0,0,6,0,0
631,45-54,Female,Doctorate degree,UK,Mixed-White/Black,19,26,24,25,23,3,0,5,0,0,1,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0
632,35-44,Female,Doctorate degree,UK,White,29,21,30,25,31,1,0,6,1,0,0,6,2,6,1,0,1,0,0,0,0,0,1,5,0,0
633,18-24,Female,University degree,UK,White,28,22,18,36,31,1,4,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
634,18-24,Female,University degree,UK,White,36,20,11,17,29,1,0,5,0,2,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
635,25-34,Female,Masters degree,UK,White,17,34,23,24,26,2,6,5,0,2,2,6,3,5,3,0,2,0,2,3,0,0,2,5,0,0
636,35-44,Female,Doctorate degree,UK,White,36,24,20,16,19,3,9,6,3,3,6,6,5,5,5,0,5,1,3,3,2,1,2,6,0,1
637,35-44,Male,University degree,UK,White,16,21,19,30,20,2,6,5,2,2,2,6,3,6,2,0,2,0,2,0,1,0,2,1,0,0
638,45-54,Female,University degree,UK,White,17,25,17,26,24,4,5,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
639,35-44,Female,Professional certificate/ diploma,Canada,White,20,24,13,28,27,1,2,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
640,18-24,Female,University degree,UK,White,21,19,10,22,34,2,6,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
641,25-34,Male,Left school at 16 years,UK,White,21,34,26,31,27,5,10,5,1,2,3,6,6,6,4,0,3,0,2,2,2,0,2,6,0,0
642,45-54,Male,University degree,UK,White,22,18,23,24,23,3,4,5,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0
643,35-44,Male,Masters degree,UK,White,17,29,26,36,35,3,7,5,1,1,0,4,1,6,0,0,1,0,0,4,0,0,1,1,0,1
644,25-34,Female,Masters degree,UK,Black,14,27,18,31,32,2,7,5,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,6,0,0
645,25-34,Male,"Some college or university, no certificate or degree",UK,White,26,21,8,27,19,3,6,5,3,3,0,5,4,6,5,0,3,0,3,0,0,0,0,3,0,0
646,45-54,Male,University degree,UK,White,24,21,18,18,21,7,4,5,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0
647,18-24,Female,University degree,UK,White,19,22,18,22,29,3,4,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,0,0
648,18-24,Male,"Some college or university, no certificate or degree",USA,White,11,32,27,12,30,2,7,6,0,0,3,6,5,6,4,0,4,0,0,4,0,3,3,6,0,2
649,35-44,Female,Masters degree,USA,White,35,24,27,35,16,7,10,6,2,1,3,4,6,5,3,4,1,3,0,2,1,0,1,6,0,0
650,25-34,Female,University degree,UK,White,22,28,11,23,36,4,2,5,2,1,0,2,2,5,2,0,2,0,1,0,1,0,0,2,0,0
651,45-54,Female,Masters degree,UK,White,19,36,33,33,25,7,7,5,2,2,4,6,5,6,4,1,5,0,3,4,2,1,2,6,0,0
652,25-34,Male,Masters degree,UK,White,30,26,23,27,16,4,2,5,0,2,0,6,2,0,2,0,0,0,0,0,0,0,0,1,0,0
653,18-24,Male,"Some college or university, no certificate or degree",Australia,White,34,31,28,19,16,4,7,5,5,3,4,6,6,6,3,0,3,0,4,5,5,3,4,6,0,3
654,18-24,Male,"Some college or university, no certificate or degree",USA,White,17,27,20,24,24,7,7,6,0,0,0,4,3,6,0,0,0,0,0,3,0,0,3,2,0,0
655,35-44,Female,Left school at 16 years,UK,White,20,29,15,26,31,2,3,5,0,1,0,6,1,6,0,0,0,0,0,0,1,3,0,2,0,0
656,25-34,Male,Masters degree,Other,Other,19,34,17,22,16,5,8,5,0,0,2,6,4,5,0,3,3,0,3,3,3,0,3,6,0,0
657,45-54,Male,"Some college or university, no certificate or degree",Canada,White,36,19,22,15,15,7,7,4,0,0,0,6,6,5,2,3,0,0,0,3,2,0,5,6,0,0
658,45-54,Male,Professional certificate/ diploma,UK,White,35,13,29,20,13,8,10,5,1,1,1,6,4,6,1,0,2,1,1,1,1,1,1,6,0,0
659,18-24,Male,Masters degree,UK,White,30,24,23,21,20,6,6,5,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,4,0,0
660,25-34,Male,Doctorate degree,Republic of Ireland,White,16,32,31,17,21,7,7,5,3,2,0,6,6,5,5,2,4,0,2,0,2,2,2,6,0,1
661,25-34,Female,Masters degree,UK,Black,12,26,20,30,25,1,1,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
662,18-24,Female,University degree,UK,White,21,15,15,22,33,1,3,6,0,0,0,6,2,6,0,0,0,0,0,3,0,0,0,5,0,0
663,25-34,Female,University degree,UK,White,24,24,22,35,35,5,2,5,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,2,0,0
664,25-34,Female,Doctorate degree,UK,White,36,14,18,14,13,3,4,6,1,0,3,6,3,4,0,0,0,0,0,0,1,0,0,6,0,1
665,18-24,Male,University degree,UK,White,20,20,24,25,20,5,8,5,0,0,0,6,3,6,0,0,0,0,0,3,0,0,2,4,0,0
666,25-34,Female,Doctorate degree,UK,White,35,20,21,25,22,2,5,6,2,2,0,5,2,6,2,1,2,0,2,0,0,0,0,2,0,1
667,18-24,Male,Left school at 18 years,UK,White,7,21,21,22,17,6,7,3,0,0,0,6,6,5,0,0,4,0,0,0,0,0,0,6,0,0
668,35-44,Male,"Some college or university, no certificate or degree",UK,White,33,18,28,21,26,3,6,4,2,1,6,4,5,6,4,4,3,5,3,2,2,6,3,6,0,0
669,45-54,Male,University degree,UK,White,9,36,21,25,21,4,5,5,0,1,0,6,2,6,0,0,0,0,0,2,0,0,2,0,0,1
670,25-34,Male,"Some college or university, no certificate or degree",UK,White,18,29,23,21,23,4,8,6,0,3,5,6,6,6,4,0,3,0,0,3,0,0,0,3,0,0
671,18-24,Male,Professional certificate/ diploma,UK,White,20,24,17,18,21,0,4,5,0,3,0,6,5,5,2,0,0,0,0,3,0,0,0,6,0,0
672,35-44,Male,Professional certificate/ diploma,UK,White,19,28,20,19,25,6,9,2,1,1,0,6,6,6,1,0,1,0,0,0,1,0,1,6,0,0
673,18-24,Male,University degree,UK,White,21,23,29,28,30,5,5,2,0,0,0,6,6,4,0,0,0,0,0,1,0,0,0,6,0,0
674,18-24,Female,"Some college or university, no certificate or degree",UK,White,36,30,23,27,30,2,6,5,0,0,0,6,2,5,2,0,2,0,0,0,0,0,0,0,0,0
675,18-24,Female,Masters degree,UK,Asian,32,18,16,19,16,2,8,3,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
676,35-44,Male,Professional certificate/ diploma,UK,White,23,21,15,18,18,4,9,3,2,1,0,6,6,6,3,0,3,0,3,3,1,0,3,6,0,1
677,18-24,Male,Professional certificate/ diploma,UK,White,26,23,8,22,26,6,8,3,0,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,0,0
678,25-34,Male,University degree,UK,White,29,21,23,19,19,3,5,6,2,2,0,4,3,5,2,0,0,0,0,0,0,0,0,3,0,0
679,18-24,Male,"Some college or university, no certificate or degree",UK,White,44,7,18,23,8,1,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,2
680,18-24,Female,"Some college or university, no certificate or degree",UK,White,30,21,16,15,33,2,9,5,4,3,3,6,3,4,3,0,0,0,0,4,0,3,0,3,0,3
681,45-54,Male,Doctorate degree,UK,White,26,17,19,23,8,2,0,6,6,1,3,6,1,4,3,3,6,3,3,3,2,2,2,0,0,0
682,35-44,Male,"Some college or university, no certificate or degree",UK,White,12,23,11,19,25,6,8,6,0,2,3,6,3,5,0,0,2,0,0,0,0,0,0,6,0,0
683,25-34,Male,Masters degree,UK,White,37,10,23,25,28,1,3,6,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0
684,35-44,Female,University degree,UK,White,29,22,17,22,19,1,4,3,2,2,2,3,3,4,3,1,2,0,2,2,2,0,3,1,0,0
685,35-44,Female,Professional certificate/ diploma,UK,White,33,18,28,15,12,7,10,4,0,0,6,6,4,6,0,0,0,0,0,3,0,6,1,4,0,0
686,25-34,Male,University degree,Australia,White,20,24,25,20,18,6,7,6,5,3,5,6,6,6,3,0,3,0,2,3,4,0,4,5,0,0
687,18-24,Female,"Some college or university, no certificate or degree",Canada,White,39,29,29,21,17,6,9,5,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0
688,45-54,Female,Left school before 16 years,Australia,White,15,27,13,29,26,1,0,4,1,0,2,5,5,4,1,0,0,0,0,0,1,0,0,3,0,0
689,35-44,Male,"Some college or university, no certificate or degree",USA,White,34,30,18,15,28,6,9,2,2,1,3,6,6,6,1,0,1,0,0,0,0,0,0,3,0,0
690,55-64,Female,Masters degree,UK,White,32,18,17,23,23,8,7,6,1,0,1,6,1,4,0,0,0,0,0,0,1,0,1,1,0,0
691,55-64,Male,"Some college or university, no certificate or degree",UK,White,28,18,10,13,23,5,4,6,0,0,2,6,0,4,0,0,0,1,0,0,0,1,0,6,0,0
692,25-34,Female,University degree,UK,White,22,22,13,24,27,2,4,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0,0
693,45-54,Female,Masters degree,UK,White,26,18,18,21,20,2,3,6,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0
694,35-44,Male,Masters degree,UK,White,13,21,21,26,28,1,3,6,1,0,0,6,2,6,1,0,1,0,0,0,0,0,0,2,0,0
695,35-44,Male,Professional certificate/ diploma,UK,White,15,19,17,19,22,4,5,5,1,1,0,6,6,5,2,0,2,0,2,2,1,0,1,2,0,1
696,35-44,Female,Masters degree,UK,White,22,20,20,31,35,2,2,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,0
697,55-64,Male,University degree,UK,White,16,25,23,13,33,3,6,5,1,1,0,6,6,5,1,0,0,0,0,0,1,0,1,1,0,0
698,45-54,Female,University degree,Canada,Other,9,21,27,33,24,2,6,4,0,0,0,6,6,6,0,0,0,0,0,0,1,0,1,6,0,0
699,35-44,Male,University degree,USA,White,23,16,26,23,19,3,4,6,5,0,3,6,5,6,2,0,2,1,0,0,3,0,2,5,0,0
700,55-64,Male,"Some college or university, no certificate or degree",UK,White,22,15,15,25,16,3,7,6,2,2,0,6,6,4,2,0,2,0,0,2,2,0,2,6,0,2
701,35-44,Female,"Some college or university, no certificate or degree",Other,White,33,24,23,17,25,7,9,5,2,0,2,6,6,6,2,1,3,1,0,3,2,0,2,6,0,1
